team_name,team_id,conference,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Atlanta Hawks,ATL,Eastern,33,35,28,13,26,30,37,47,53,44,50,44,38,60,48,43
Boston Celtics,BOS,Eastern,49,44,36,45,33,24,66,62,50,56,48,41,25,40,48,53
Charlotte Hornets,CHO,Eastern,-1,-1,-1,18,26,33,32,35,44,34,9,21,43,33,48,36
Chicago Bulls,CHI,Eastern,21,30,23,47,41,49,33,41,41,62,62,45,48,50,42,41
Cleveland Cavaliers,CLE,Eastern,29,17,35,42,50,50,45,66,61,19,26,24,33,53,57,51
Dallas Mavericks,DAL,Western,57,60,52,58,60,67,51,50,55,57,45,41,49,50,42,33
Denver Nuggets,DEN,Western,27,17,43,49,44,45,50,54,53,50,47,57,36,30,33,40
Detroit Pistons,DET,Eastern,50,50,54,54,64,53,59,39,27,30,31,29,29,32,44,37
Golden State Warriors,GSW,Western,21,38,37,34,34,42,48,29,26,36,29,47,51,67,73,67
Houston Rockets,HOU,Western,28,43,45,51,34,52,55,53,42,43,42,45,54,56,41,55
Indiana Pacers,IND,Eastern,42,48,61,44,41,35,36,36,32,37,52,50,56,38,45,42
Los Angeles Clippers,LAC,Western,39,27,28,37,47,40,23,19,29,32,50,56,57,56,53,51
Los Angeles Lakers,LAL,Western,58,50,56,34,45,42,57,65,57,57,51,45,27,21,17,26
Memphis Grizzlies,MEM,Western,23,28,50,45,49,22,22,24,40,46,51,56,50,55,42,43
Miami Heat,MIA,Eastern,36,25,42,59,52,44,15,43,47,58,57,66,54,37,48,41
Milwaukee Bucks,MIL,Eastern,41,42,41,30,40,28,26,34,46,35,38,38,15,41,33,42
Minnesota Timberwolves,MIN,Western,50,51,58,44,33,32,22,24,15,17,32,31,40,16,29,31
New Jersey Nets,BRK,Eastern,52,49,47,42,49,41,34,34,12,24,27,49,44,38,21,20
New Orleans Pelicans,NOP,Western,44,47,41,18,38,39,56,49,37,46,26,27,34,45,30,34
New York Knicks,NYK,Eastern,30,37,39,33,23,33,23,32,29,42,45,54,37,17,32,31
Orlando Magic,ORL,Eastern,44,42,21,36,36,40,52,59,59,52,46,20,23,25,35,29
Philadelphia 76ers,PHI,Eastern,43,48,33,43,38,35,40,41,27,41,43,34,19,18,10,28
Phoenix Suns,PHO,Western,36,44,29,62,54,61,55,46,54,40,41,25,48,39,23,24
Portland Trail Blazers,POR,Western,49,50,41,27,21,32,41,54,50,48,35,33,54,51,44,41
Sacramento Kings,SAC,Western,61,59,55,50,44,33,38,17,25,24,27,28,28,29,33,32
San Antonio Spurs,SAS,Western,58,60,57,59,63,58,56,54,50,61,62,58,62,55,67,61
Seattle SuperSonics/OKC,OKC,Western,45,40,37,52,35,31,20,23,50,55,58,60,59,45,55,47
Toronto Raptors,TOR,Eastern,42,24,33,33,27,47,41,33,40,22,29,34,48,49,56,51
Utah Jazz,UTA,Western,44,47,42,26,41,51,54,48,53,39,45,43,25,38,40,51
Washington Wizards,WAS,Eastern,37,37,25,45,42,41,43,19,26,23,25,29,44,46,41,49